benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,storemovement,142
quadratic,baseline,785
quadratic,storemovement,785
primes-between,baseline,574100
primes-between,storemovement,574100
orders,baseline,5352
orders,storemovement,5352
cholesky,baseline,3761
cholesky,storemovement,3761
relative-primes,baseline,1923
relative-primes,storemovement,1923
sieve,baseline,3482
sieve,storemovement,3482
newton,baseline,217
newton,storemovement,217
check-primes,baseline,8468
check-primes,storemovement,8468
sum-sq-diff,baseline,3038
sum-sq-diff,storemovement,3038
bubblesort,baseline,253
bubblesort,storemovement,253
mat-inv,baseline,1044
mat-inv,storemovement,1044
loopfact,baseline,116
loopfact,storemovement,116
recfact,baseline,104
recfact,storemovement,104
riemann,baseline,298
riemann,storemovement,298
adler32,baseline,6851
adler32,storemovement,6851
factors,baseline,72
factors,storemovement,72
perfect,baseline,232
perfect,storemovement,232
digital-root,baseline,247
digital-root,storemovement,247
adj2csr,baseline,56629
adj2csr,storemovement,56629
up-arrow,baseline,252
up-arrow,storemovement,252
sum-divisors,baseline,159
sum-divisors,storemovement,159
ackermann,baseline,1464231
ackermann,storemovement,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,storemovement,61518
euclid,baseline,563
euclid,storemovement,563
binary-fmt,baseline,100
binary-fmt,storemovement,100
mat-mul,baseline,1990407
mat-mul,storemovement,1990407
gcd,baseline,46
gcd,storemovement,46
pow,baseline,36
pow,storemovement,36
armstrong,baseline,133
armstrong,storemovement,133
fib,baseline,121
fib,storemovement,121
collatz,baseline,169
collatz,storemovement,169
sum-bits,baseline,73
sum-bits,storemovement,73
rectangles-area-difference,baseline,14
rectangles-area-difference,storemovement,14
sqrt,baseline,322
sqrt,storemovement,322
eight-queens,baseline,1006454
eight-queens,storemovement,1006454
fizz-buzz,baseline,3652
fizz-buzz,storemovement,3652
