benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,oplvn,142
quadratic,baseline,785
quadratic,oplvn,1897
primes-between,baseline,574100
primes-between,oplvn,1544468
orders,baseline,5352
orders,oplvn,12912
cholesky,baseline,3761
cholesky,oplvn,8729
relative-primes,baseline,1923
relative-primes,oplvn,2803
sieve,baseline,3482
sieve,oplvn,8554
newton,baseline,217
newton,oplvn,217
check-primes,baseline,8468
check-primes,oplvn,14180
sum-sq-diff,baseline,3038
sum-sq-diff,oplvn,7054
bubblesort,baseline,253
bubblesort,oplvn,589
mat-inv,baseline,1044
mat-inv,oplvn,3612
loopfact,baseline,116
loopfact,oplvn,244
recfact,baseline,104
recfact,oplvn,216
riemann,baseline,298
riemann,oplvn,298
adler32,baseline,6851
adler32,oplvn,24675
factors,baseline,72
factors,oplvn,208
perfect,baseline,232
perfect,oplvn,976
digital-root,baseline,247
digital-root,oplvn,663
adj2csr,baseline,56629
adj2csr,oplvn,167725
up-arrow,baseline,252
up-arrow,oplvn,668
sum-divisors,baseline,159
sum-divisors,oplvn,567
ackermann,baseline,1464231
ackermann,oplvn,3185555
pythagorean_triple,baseline,61518
pythagorean_triple,oplvn,276074
euclid,baseline,563
euclid,oplvn,883
binary-fmt,baseline,100
binary-fmt,oplvn,228
mat-mul,baseline,1990407
mat-mul,oplvn,9530815
gcd,baseline,46
gcd,oplvn,86
pow,baseline,36
pow,oplvn,60
armstrong,baseline,133
armstrong,oplvn,365
fib,baseline,121
fib,oplvn,329
collatz,baseline,169
collatz,oplvn,377
sum-bits,baseline,73
sum-bits,oplvn,217
rectangles-area-difference,baseline,14
rectangles-area-difference,oplvn,46
sqrt,baseline,322
sqrt,oplvn,322
eight-queens,baseline,1006454
eight-queens,oplvn,2046998
fizz-buzz,baseline,3652
fizz-buzz,oplvn,6428
