benchmark,run,result
ray-sphere-intersection,baseline,142
ray-sphere-intersection,trace,145
quadratic,baseline,785
quadratic,trace,788
primes-between,baseline,574100
primes-between,trace,694229
orders,baseline,5352
orders,trace,5356
cholesky,baseline,3761
cholesky,trace,3770
relative-primes,baseline,1923
relative-primes,trace,1926
sieve,baseline,3482
sieve,trace,3485
newton,baseline,217
newton,trace,256
check-primes,baseline,8468
check-primes,trace,8711
sum-sq-diff,baseline,3038
sum-sq-diff,trace,2942
bubblesort,baseline,253
bubblesort,trace,256
mat-inv,baseline,1044
mat-inv,trace,1050
loopfact,baseline,116
loopfact,trace,116
recfact,baseline,104
recfact,trace,138
riemann,baseline,298
riemann,trace,302
adler32,baseline,6851
adler32,trace,6854
factors,baseline,72
factors,trace,72
perfect,baseline,232
perfect,trace,232
digital-root,baseline,247
digital-root,trace,286
adj2csr,baseline,56629
adj2csr,trace,56632
up-arrow,baseline,252
up-arrow,trace,300
sum-divisors,baseline,159
sum-divisors,trace,189
ackermann,baseline,1464231
ackermann,trace,2413270
pythagorean_triple,baseline,61518
pythagorean_triple,trace,61518
euclid,baseline,563
euclid,trace,566
binary-fmt,baseline,100
binary-fmt,trace,137
mat-mul,baseline,1990407
mat-mul,trace,1990416
gcd,baseline,46
gcd,trace,46
pow,baseline,36
pow,trace,39
armstrong,baseline,133
armstrong,trace,149
fib,baseline,121
fib,trace,121
collatz,baseline,169
collatz,trace,169
sum-bits,baseline,73
sum-bits,trace,91
rectangles-area-difference,baseline,14
rectangles-area-difference,trace,20
sqrt,baseline,322
sqrt,trace,322
eight-queens,baseline,1006454
eight-queens,trace,1014866
fizz-buzz,baseline,3652
fizz-buzz,trace,3652
